Name,MFLOPS_observed,MFLOPS_tuned,Time,Row,Col,BlockRow,BlockCol
t2d_q4_A_38.rb,2348.63,2577.98,0.00526538,9801,9801,3,1
shipsec1.rb,2950.33,5579.71,0.165194,140874,140874,6,6
west1505.rb,1863.84,1510.02,0.00170865,1505,1505,0,0
nemeth11.rb,4286.26,6622.79,0.0101362,9506,9506,3,1
N_reactome.rb,1249.85,1362.47,0.00519385,10204,16559,0,0
abtaha2.rb,1983.14,1920.37,0.0110199,37932,331,0,0
c-big.rb,2008.06,2073.55,0.100978,345241,345241,1,1
fs_541_2.rb,2181.27,1793.69,0.00139928,541,541,0,0
cegb3306.rb,4063.86,7517.52,0.00284307,3306,3306,6,6
pcrystk02.rb,3663.63,7792.82,0.0222104,13965,13965,3,3
t2d_q9_A_24.rb,2369.2,2553.59,0.00521314,9801,9801,3,1
t2d_q4_A_24.rb,2376.6,2597.0,0.00526313,9801,9801,3,1
viscoplastic2_C_3.rb,1858.53,1846.91,0.0211572,32769,32769,1,1
orsreg_1.rb,1906.03,2007.63,0.00197029,2205,2205,1,1
pltexpa_A_2.rb,2028.25,1359.73,0.00208733,1726,4540,0,0
small_A_12.rb,1835.61,1413.44,0.00147366,705,1428,1,1
a0nsdsil.rb,2639.44,2484.5,0.0219271,80016,80016,0,0
cz10228.rb,2060.3,2037.6,0.00618978,10228,10228,1,1
ccc_G_06.rb,2382.72,2095.94,0.00161862,2048,2048,0,0
robot24c1_mat5_J.rb,1835.45,2283.14,0.00184162,302,404,3,1
goddardRocketProblem_1.rb,3530.84,3092.31,0.00205731,831,831,0,0
bcsstk37.rb,3383.08,4930.51,0.0266908,25503,25503,3,1
sts4098.rb,2981.58,3631.0,0.00336631,4098,4098,3,1
fpga_dcop_11.rb,1877.73,1573.82,0.00158127,1220,1220,0,0
162bit.rb,1660.52,1485.62,0.00367261,3606,3597,1,1
c-47.rb,3368.72,3392.27,0.0076595,15343,15343,1,1
ch7-9-b4.rb,1340.59,1329.86,0.102462,317520,105840,1,1
fpga_dcop_51.rb,1889.22,1600.57,0.00156602,1220,1220,1,1
TF13.rb,1615.1,1564.88,0.00196722,1121,1302,0,0
Trec10.rb,1811.58,1689.02,0.00161283,106,478,1,1
Si87H76.rb,2812.66,3103.46,0.291853,240369,240369,1,1
lowThrust_8.rb,3784.24,3514.48,0.00733853,17702,17702,1,1
hydr1c_Zeros_55.rb,79.2346,100.344,0.00189864,5308,5308,0,0
se_G_02.rb,302.089,171.136,0.00159599,16,16,0,0
viscoplastic2_C_1.rb,1658.01,1795.19,0.0283992,32769,32769,0,0
scsd8-2r_A_02.rb,2069.25,2057.5,0.00132948,170,1190,2,2
cavity17.rb,2043.37,2960.03,0.00781784,4562,4562,3,1
