Phase	Benchmark	Mode	Feature	Value
Dense	ecology1.mtx	dia	Inner	500
Dense	ecology1.mtx	dia	N	1000
Dense	ecology1.mtx	dia	NNZ	1000000
Dense	ecology1.mtx	dia	SD	197.786151
Dense	ecology1.mtx	dia	MFLOPS_s	4495.06
Dense	ecology1.mtx	dia	MFLOPS_median	4586.67
Dense	ecology1.mtx	dia	Time	0.6674
Dense	ecology1.mtx	dia	Fletcher_sum	0

Dense	ecology1.mtx	ell	Outer	3
Dense	ecology1.mtx	ell	Inner	500
Dense	ecology1.mtx	ell	N	1000
Dense	ecology1.mtx	ell	NNZ	1000000
Dense	ecology1.mtx	ell	SD	51.195974
Dense	ecology1.mtx	ell	MFLOPS_s	2483.3
Dense	ecology1.mtx	ell	MFLOPS_median	2517.77
Dense	ecology1.mtx	ell	Time	1.20807
Dense	ecology1.mtx	ell	Fletcher_sum	0

Dense	ecology1.mtx	coo	Outer	3
Dense	ecology1.mtx	coo	Inner	500
Dense	ecology1.mtx	coo	N	1000
Dense	ecology1.mtx	coo	NNZ	1000000
Dense	ecology1.mtx	coo	SD	2.2434
Dense	ecology1.mtx	coo	MFLOPS_s	907.507
Dense	ecology1.mtx	coo	MFLOPS_median	906.178
Dense	ecology1.mtx	coo	Time	3.30576
Dense	ecology1.mtx	coo	Fletcher_sum	0

Sparse	jnlbrng1.mtx	csr	Outer	3
Sparse	jnlbrng1.mtx	csr	Inner	500
Sparse	jnlbrng1.mtx	csr	N	40000
Sparse	jnlbrng1.mtx	csr	NNZ	199200
Sparse	jnlbrng1.mtx	csr	SD	5.826533
Sparse	jnlbrng1.mtx	csr	MFLOPS_s	2702.82
Sparse	jnlbrng1.mtx	csr	MFLOPS_median	2706.47
Sparse	jnlbrng1.mtx	csr	Time	0.221102
Sparse	jnlbrng1.mtx	csr	Fletcher_sum	63755

Sparse	jnlbrng1.mtx	coo	Outer	3
Sparse	jnlbrng1.mtx	coo	Inner	500
Sparse	jnlbrng1.mtx	coo	N	40000
Sparse	jnlbrng1.mtx	coo	NNZ	199200
Sparse	jnlbrng1.mtx	coo	SD	2.01507
Sparse	jnlbrng1.mtx	coo	MFLOPS_s	1608.72
Sparse	jnlbrng1.mtx	coo	MFLOPS_median	1607.61
Sparse	jnlbrng1.mtx	coo	Time	0.371475
Sparse	jnlbrng1.mtx	coo	Fletcher_sum	63755

Sparse	jnlbrng1.mtx	dia	Outer	3
Sparse	jnlbrng1.mtx	dia	Inner	500
Sparse	jnlbrng1.mtx	dia	N	40000
Sparse	jnlbrng1.mtx	dia	NNZ	199200
Sparse	jnlbrng1.mtx	dia	SD	128.053961
Sparse	jnlbrng1.mtx	dia	MFLOPS_s	15406.8
Sparse	jnlbrng1.mtx	dia	MFLOPS_median	15381.9
Sparse	jnlbrng1.mtx	dia	Time	0.038788
Sparse	jnlbrng1.mtx	dia	Fletcher_sum	63755

Sparse	jnlbrng1.mtx	ell	Outer	3
Sparse	jnlbrng1.mtx	ell	Inner	500
Sparse	jnlbrng1.mtx	ell	N	40000
Sparse	jnlbrng1.mtx	ell	NNZ	199200
Sparse	jnlbrng1.mtx	ell	SD	17.016334
Sparse	jnlbrng1.mtx	ell	MFLOPS_s	3073.47
Sparse	jnlbrng1.mtx	ell	MFLOPS_median	3062.47
Sparse	jnlbrng1.mtx	ell	Time	0.194438
